id,date,HIC,well,scene,intensity_max-DAPI Class,chelation,label_count,area_mean
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_22_21_P7-B9.ome__0__Image:0,2024-08-07,72,B9,P7-B9,1.0,Control,1,1369.91745031
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_4_3_P3-A9.ome__0__Image:0,2024-08-07,72,A9,P3-A9,0.0,100uM DFO,48,1.3597631829166668
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P7-D9.ome__0__Image:0,2024-08-07,72,D9,P7-D9,0.0,50uM DFP,26,31.638594789615386
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P7-D9.ome__0__Image:0,2024-08-07,72,D9,P7-D9,1.0,50uM DFP,1,443.88214582
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_62_61_P2-E9.ome__0__Image:0,2024-08-07,72,E9,P2-E9,0.0,50uM DFP,7,1.0956576257142856
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_62_61_P2-E9.ome__0__Image:0,2024-08-07,72,E9,P2-E9,1.0,50uM DFP,2,446.83140093500003
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_84_83_P13-F9.ome__0__Image:0,2024-08-07,72,F9,P13-F9,0.0,100uM DFP,36,0.5330391461111111
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_84_83_P13-F9.ome__0__Image:0,2024-08-07,72,F9,P13-F9,1.0,100uM DFP,1,736.7439487800001
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_98_97_P9-G9.ome__0__Image:0,2024-08-07,72,G9,P9-G9,0.0,100uM DFP,56,5.597644406071429
2024-08-07 25x 72HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_98_97_P9-G9.ome__0__Image:0,2024-08-07,72,G9,P9-G9,1.0,100uM DFP,2,789.69193356
