id,date,HIC,well,scene,label,area,intensity_max-DAPI Class,row,column,chelation,media
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,16,1.0164534600000001,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,17,0.030801620000000002,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,18,0.030801620000000002,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,19,0.061603240000000004,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,20,1.12425913,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,21,0.015400810000000001,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,22,0.21561134,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,23,0.40042106,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,24,0.41582187000000004,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,25,0.18480972,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,26,0.061603240000000004,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,27,0.09240486,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,28,297.45124434,1.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,29,0.52362754,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,30,0.18480972,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,31,0.60063159,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,32,0.23101215000000003,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,33,1.20126318,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,34,0.38502025,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,35,0.7084372600000001,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,36,0.13860729,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,37,1.30906885,0.0,C,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,38,0.5852307800000001,0.0,C,9,Control,NGM
