label_name,id,label,area,intensity_mean-nucleoli-labels,intensity_mean-conA,intensity_mean-MitoTDR,solidity
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,74,883.0494720000002,2.040448343079922,228.22222222222223,420.7456140350877,0.6953575059301932
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,75,2379.75808,0.33544303797468356,225.44050632911393,300.96057866184447,0.8600311041990667
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,76,1389.124608,0.0,298.20631970260223,294.0275712515489,0.7685714285714285
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,77,1396.0099840000003,0.0,308.651356350185,301.56658446362513,0.7968558093834439
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,78,849.4832640000001,0.0,352.3156028368794,311.2917933130699,0.698019801980198
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,79,1254.8597760000002,0.8600823045267489,290.4835390946502,307.4605624142661,0.7505791505791506
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,80,1845.2807680000003,0.18470149253731344,237.82859141791045,292.0837220149254,0.6248907024191198
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,81,1409.7807360000002,0.25457875457875456,280.4453601953602,287.8864468864469,0.7534498620055198
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,82,1871.1009280000003,0.0,277.3465961361546,307.7923183072677,0.6003037415435594
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,83,1550.5006080000003,0.0,291.0582847626977,288.0308076602831,0.7761740629039208
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,84,772.4531200000001,0.0,243.17548746518105,297.5364902506964,0.8196347031963471
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,85,1183.854336,0.46455834242093785,316.25227190112685,310.5474372955289,0.7771186440677966
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,86,1405.9077120000002,0.0,328.16743189470463,323.6424854606673,0.7458904109589041
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,87,657.5534080000001,0.0,222.9895287958115,331.3049738219895,0.5872405841660262
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,88,455.29548800000003,0.0,243.3610586011342,300.9319470699433,0.9760147601476015
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,89,629.5815680000001,0.0,242.55092276144907,301.98496240601503,0.8432276657060518
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,90,818.0687360000001,1.1520252498684902,277.56549184639664,306.34297738032615,0.8716185236130215
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,91,563.309824,0.0,219.26967150496563,271.0993124522536,0.886255924170616
cyto-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,92,542.6536960000001,3.226011102299762,250.23076923076923,289.6931007137193,0.782258064516129
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,1,86.06720000000001,1.31,265.185,384.18,0.970873786407767
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,2,286.17344,1.4165413533834585,276.58796992481206,362.29774436090224,0.9693877551020408
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,3,285.743104,3.783132530120482,495.70030120481925,417.3448795180723,0.9693430656934306
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,4,153.62995200000003,8.369747899159664,701.8039215686274,896.7871148459384,0.9545454545454546
nuclei-labels,plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,5,289.61612800000006,8.075780089153046,519.2258543833581,443.037147102526,0.9683453237410073
